Tag,EPC,TID,Inv Times,RSSI(dBm),ANT ID,Last Time,First Read time Cost(ms),Color
1,E2-00-04-00-59-04-02-22-11-30-C5-F7,,265,-47,1,7/02/2021 11:44:49,00:00:00.788,White
2,00-00-66-00-07-0B-00-76-19-60-49-A7,,213,-41,2,7/02/2021 11:44:49,00:00:01.082,White
3,08-28-2B-87-B0-93-C0-D9-5C-3A-06-E3-72-C0-04-00,,217,-55,2,7/02/2021 11:44:49,00:00:01.167,White
4,E2-00-04-00-59-04-02-22-30-11-C5-F7,,1,-45,1,7/02/2021 11:44:36,00:00:08.318,Red
5,08-28-2B-87-B0-93-C0-D9-5C-3A-06-72-C0-04-00-FD,,1,-921,126,7/02/2021 11:44:44,00:00:16.107,Orange
6,E2-00-04-00-59-04-02-22-11-C5-30-F7,,1,-44,1,7/02/2021 11:44:45,00:00:17.004,Orange

