Tag,EPC,TID,Inv Times,RSSI(dBm),ANT ID,Last Time,First Read time Cost(ms),Color
1,E2-00-04-00-59-04-02-22-11-30-C5-F7,,84,-44,1,7/02/2021 11:44:34,00:00:00.788,White
2,00-00-66-00-07-0B-00-76-19-60-49-A7,,54,-37,2,7/02/2021 11:44:33,00:00:01.082,White
3,08-28-2B-87-B0-93-C0-D9-5C-3A-06-E3-72-C0-04-00,,52,-53,2,7/02/2021 11:44:33,00:00:01.167,White

